Escuderia,Seguidores,Tweets,Likes,Rts,Fecha
MercedesAMGF1,4564794,137188,658415,36944,2023-02-05 10:07:55.081447
AlpineF1Team,2071936,81950,213984,9720,2023-02-05 10:07:58.358217
HaasF1Team,1471336,27918,334511,22837,2023-02-05 10:08:01.635277
McLarenF1,3572816,50610,225712,10749,2023-02-05 10:08:05.116305
alfaromeof1,1464037,26271,145988,8431,2023-02-05 10:08:08.700891
WilliamsRacing,1780901,47361,81685,4630,2023-02-05 10:08:12.184252
redbullracing,4290809,34209,780140,56282,2023-02-05 10:08:15.458264
AstonMartinF1,1881260,62308,157098,9655,2023-02-05 10:08:18.633510
ScuderiaFerrari,4356762,68279,574459,34365,2023-02-05 10:08:22.115499
AlphaTauriF1,1539315,20535,362280,23109,2023-02-05 10:08:25.392820
MercedesAMGF1,4566148,137193,725818,40754,2023-02-06 11:18:08.474632
AlpineF1Team,2072258,81950,214017,9730,2023-02-06 11:18:11.139850
HaasF1Team,1471762,27919,336466,22911,2023-02-06 11:18:13.614392
McLarenF1,3573525,50613,230071,10906,2023-02-06 11:18:16.192839
alfaromeof1,1464289,26272,145994,8504,2023-02-06 11:18:18.809279
WilliamsRacing,1781550,47370,74936,3321,2023-02-06 11:18:21.308713
redbullracing,4291751,34212,799237,57977,2023-02-06 11:18:24.251369
AstonMartinF1,1881965,62311,159863,9848,2023-02-06 11:18:27.152924
ScuderiaFerrari,4358415,68281,577568,34353,2023-02-06 11:18:29.792879
AlphaTauriF1,1539723,20537,347991,22718,2023-02-06 11:18:32.166553
MercedesAMGF1,4568505,137210,725615,39600,2023-02-07 21:35:53.611681
AlpineF1Team,2072804,81955,216762,10146,2023-02-07 21:35:56.774088
HaasF1Team,1472815,27922,339475,23029,2023-02-07 21:35:59.994418
McLarenF1,3575085,50620,242331,11486,2023-02-07 21:36:03.515184
alfaromeof1,1466729,26296,196439,14700,2023-02-07 21:36:06.783940
WilliamsRacing,1784206,47414,108625,6848,2023-02-07 21:36:10.511357
redbullracing,4293118,34216,803617,58503,2023-02-07 21:36:13.827183
AstonMartinF1,1883074,62312,168162,10680,2023-02-07 21:36:17.266799
ScuderiaFerrari,4361088,68310,448528,27511,2023-02-07 21:36:20.446915
AlphaTauriF1,1540631,20537,350605,22843,2023-02-07 21:36:23.478245
